"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"Q9NUB1","Q9NUB1",-0.031682730477872,0.670147295655135,0.791748661374736,"Control vs hc-like","ACSS1","yes"
"Q8WUD1","Q8WUD1",0.0195935862668435,0.670372462751372,0.791863912311491,"Control vs hc-like","RAB2B","yes"
"Q15257","Q15257",-0.0186070356963555,0.671193622674402,0.792682989854333,"Control vs hc-like","PTPA",NA
"O14734","O14734",-0.0219087803300972,0.671425478838269,0.792700225413297,"Control vs hc-like","ACOT8","yes"
"Q8NEL9","Q8NEL9",-0.0314970525664293,0.671463720350087,0.792700225413297,"Control vs hc-like","DDHD1",NA
"P19367","P19367",0.0322504636033649,0.671799996400541,0.792946352989415,"Control vs hc-like","HK1","yes"
"Q8NE01","Q8NE01",-0.0358240962976204,0.672271473496901,0.793305795796708,"Control vs hc-like","CNNM3",NA
"Q5T5X7","Q5T5X7",-0.14575080328844,0.672360222416581,0.793305795796708,"Control vs hc-like","BEND3",NA
"Q8TBF2","Q8TBF2",0.0433474651722889,0.672676017190284,0.793485798876005,"Control vs hc-like","PRXL2B",NA
"Q8NDH2","Q8NDH2",0.0385647843651036,0.672768539546602,0.793485798876005,"Control vs hc-like",NA,"yes"
"P13807","P13807",0.0257686089402469,0.672914909314721,0.793507604009472,"Control vs hc-like","GYS1","yes"
"Q9P032","Q9P032",0.0248445017337708,0.674624792761743,0.795372760609276,"Control vs hc-like","NDUFAF4","yes"
"Q12769","Q12769",0.0255941101538504,0.675077562626082,0.795755371598563,"Control vs hc-like","NUP160",NA
"Q9HD26","Q9HD26",-0.0286966200293719,0.676274655283217,0.797015049578796,"Control vs hc-like","GOPC","yes"
"P29350","P29350",0.0433766997775784,0.676558627478102,0.797198306779647,"Control vs hc-like","PTPN6",NA
"P06746","P06746",-0.0254311037827328,0.676688802323772,0.797200307275301,"Control vs hc-like","POLB",NA
"Q6GMV2","Q6GMV2",0.0207103642700694,0.677144266451327,0.797455713901524,"Control vs hc-like","SMYD5","yes"
"Q13641","Q13641",-0.0549962114165155,0.677273682061997,0.797455713901524,"Control vs hc-like","TPBG",NA
"Q7Z4H3","Q7Z4H3",0.031896577622927,0.677291154272527,0.797455713901524,"Control vs hc-like","HDDC2",NA
"Q13445","Q13445",-0.0430626590956038,0.677438082663362,0.797477386250458,"Control vs hc-like","TMED1",NA
"Q15046","Q15046",-0.0204686787066031,0.677717439090639,0.797654914559449,"Control vs hc-like","KARS1",NA
"O14514","O14514",-0.0552712060247096,0.678495459781561,0.79820140916504,"Control vs hc-like","ADGRB1","yes"
"Q86Y56","Q86Y56",-0.0231004321213568,0.678644559920419,0.79820140916504,"Control vs hc-like","DNAAF5",NA
"Q96CQ1","Q96CQ1",0.0738494436360035,0.6787424630524,0.79820140916504,"Control vs hc-like","SLC25A36",NA
"O43581","O43581",0.0236764698309813,0.678777162296641,0.79820140916504,"Control vs hc-like","SYT7","yes"
"O43772","O43772",0.0190631209561118,0.678824953451074,0.79820140916504,"Control vs hc-like","SLC25A20","yes"
"Q96FC7","Q96FC7",-0.0302078209431933,0.679034897393379,0.79829699475671,"Control vs hc-like","PHYHIPL","yes"
"Q9NUP9","Q9NUP9",-0.0232971898727889,0.679324831828616,0.798486565920924,"Control vs hc-like","LIN7C","yes"
"Q15057","Q15057",0.0508653830695529,0.680063898662173,0.799157060656985,"Control vs hc-like","ACAP2",NA
"P49842","P49842",-0.072852986953702,0.680344814502163,0.799157060656985,"Control vs hc-like","STK19",NA
"Q9NSE4","Q9NSE4",0.0198374919786097,0.680575233198346,0.799157060656985,"Control vs hc-like","IARS2","yes"
"P51153","P51153",-0.0252640799558606,0.680613229869076,0.799157060656985,"Control vs hc-like","RAB13","yes"
"O95989","O95989",-0.023838174071102,0.680639377947447,0.799157060656985,"Control vs hc-like","NUDT3",NA
"O60244","O60244",0.0334029818658479,0.680771595230836,0.799157060656985,"Control vs hc-like","MED14",NA
