"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"P13674","P13674",0.109924880743115,0.0522402129220783,0.175094572490513,"Control vs at-risk","P4HA1",NA
"P62256","P62256",0.158469490237554,0.0522652105865342,0.175094572490513,"Control vs at-risk","UBE2H",NA
"Q9NW15","Q9NW15",-0.126692001036478,0.052297114129235,0.175094572490513,"Control vs at-risk","ANO10",NA
"A0MZ66","A0MZ66",-0.172482543641291,0.0523159122405261,0.175094572490513,"Control vs at-risk","SHTN1","yes"
"Q9BYC9","Q9BYC9",-0.175463564253736,0.0523472906113204,0.175094572490513,"Control vs at-risk","MRPL20",NA
"Q14197","Q14197",-0.128167633593183,0.0523900399184146,0.175094572490513,"Control vs at-risk","MRPL58",NA
"P98155","P98155",-0.123287318738139,0.0524188321472266,0.175094572490513,"Control vs at-risk","VLDLR",NA
"Q9Y3B7","Q9Y3B7",-0.167798111022691,0.0524252733290545,0.175094572490513,"Control vs at-risk","MRPL11",NA
"O75530","O75530",-0.278795047359242,0.052429607685314,0.175094572490513,"Control vs at-risk","EED",NA
"Q96DX4","Q96DX4",0.186057063083329,0.0527393444246064,0.176031604726511,"Control vs at-risk","RSPRY1",NA
"Q96SI1","Q96SI1",0.14123621421119,0.0527669274442081,0.176031604726511,"Control vs at-risk","KCTD15",NA
"O95816","O95816",0.131594162396926,0.0528961402794538,0.176344178117755,"Control vs at-risk","BAG2",NA
"Q13409","Q13409",-0.142307031676143,0.0529285786229814,0.176344178117755,"Control vs at-risk","DYNC1I2","yes"
"Q9Y3A4","Q9Y3A4",-0.163746681484817,0.0529458829707296,0.176344178117755,"Control vs at-risk","RRP7A",NA
"Q9NSI2","Q9NSI2",0.200598539507178,0.0530928207741111,0.176645977958509,"Control vs at-risk","SLX9",NA
"A6NDU8","A6NDU8",0.239768680614635,0.0530934325370862,0.176645977958509,"Control vs at-risk","C5orf51",NA
"Q15427","Q15427",-0.126860426117201,0.0531335292158052,0.176684645650628,"Control vs at-risk","SF3B4",NA
"P04156","P04156",-0.185970206756778,0.0531800110947133,0.176744493220512,"Control vs at-risk","PRNP","yes"
"P43686","P43686",-0.0898365126343457,0.0533955875360613,0.177365963951424,"Control vs at-risk","PSMC4","yes"
"P14927","P14927",-0.123696249238566,0.0535286849960922,0.177712942964554,"Control vs at-risk","UQCRB","yes"
"P23246","P23246",-0.177083244286202,0.053576185420131,0.177775524348616,"Control vs at-risk","SFPQ","yes"
"Q5SNT2","Q5SNT2",-0.129605768303477,0.0536137815269917,0.177805192076421,"Control vs at-risk","TMEM201",NA
"Q9UEU0","Q9UEU0",-0.12440258287306,0.053719361363667,0.178060169477326,"Control vs at-risk","VTI1B",NA
"Q15008","Q15008",-0.102424516748119,0.0540411419557075,0.179031118972325,"Control vs at-risk","PSMD6","yes"
"P56192","P56192",-0.106156537095028,0.0542022075689204,0.179468888988875,"Control vs at-risk","MARS1",NA
"O95999","O95999",0.177982694338255,0.0544862848694654,0.180313278728018,"Control vs at-risk","BCL10",NA
"P32780","P32780",0.278510446097096,0.0545451632592703,0.180411907262139,"Control vs at-risk","GTF2H1",NA
"Q9Y6N7","Q9Y6N7",-0.109412121180902,0.0546062154329592,0.18051761681487,"Control vs at-risk","ROBO1",NA
"Q92621","Q92621",-0.112345286142048,0.0547612699999082,0.180933802102998,"Control vs at-risk","NUP205",NA
"O94967","O94967",0.107422514618332,0.0548775268136021,0.181129000738297,"Control vs at-risk","WDR47","yes"
"Q9UBY8","Q9UBY8",-0.139263127191757,0.0548787302800963,0.181129000738297,"Control vs at-risk","CLN8",NA
"Q00587","Q00587",-0.173678819074164,0.0550060558376536,0.18145272539747,"Control vs at-risk","CDC42EP1","yes"
"P49407","P49407",-0.0989958292851547,0.0550681685262805,0.181561097611887,"Control vs at-risk","ARRB1","yes"
"Q969Z0","Q969Z0",0.0952271758536511,0.0551599158829808,0.181767009056769,"Control vs at-risk","TBRG4","yes"
"Q93099","Q93099",0.447740822704729,0.0552293760165188,0.181899298398354,"Control vs at-risk","HGD",NA
"P11717","P11717",0.127733474863625,0.0553442101646807,0.182180808526177,"Control vs at-risk","IGF2R",NA
"P14868","P14868",0.117111511044786,0.0554098278652415,0.182300096449535,"Control vs at-risk","DARS1",NA
"Q9H3K2","Q9H3K2",0.12758228204541,0.0555421005336108,0.182599022648055,"Control vs at-risk","GHITM",NA
"C9JLW8","C9JLW8",-0.119145094207848,0.0555762360387116,0.182599022648055,"Control vs at-risk","MCRIP1",NA
"Q9H3N1","Q9H3N1",0.120579402993158,0.0555889691832677,0.182599022648055,"Control vs at-risk","TMX1",NA
"O95865","O95865",-0.169978332938513,0.055645800145515,0.182688989366625,"Control vs at-risk","DDAH2","yes"
"O00151","O00151",-0.383448300835852,0.0558529117765553,0.183271981794567,"Control vs at-risk","PDLIM1",NA
"Q9Y5K3","Q9Y5K3",-0.166292369268341,0.0558919541867793,0.183303158419115,"Control vs at-risk","PCYT1B",NA
"P0CF75","P0CF75",-0.350658621608119,0.0560056880787648,0.183579130760029,"Control vs at-risk","EBLN1",NA
"Q9BPZ3","Q9BPZ3",0.142990530213368,0.0561264733170099,0.18387791284691,"Control vs at-risk","PAIP2",NA
"Q96MX6","Q96MX6",-0.157108213027339,0.0561707933913477,0.183926001579584,"Control vs at-risk","DNAAF10",NA
"Q9Y4X5","Q9Y4X5",-0.121911283851777,0.0563777159857923,0.184446041529945,"Control vs at-risk","ARIH1","yes"
"O43294","O43294",-0.269558760314826,0.0563890637844168,0.184446041529945,"Control vs at-risk","TGFB1I1",NA
"P26640","P26640",-0.166719134652993,0.0564348737165569,0.184453875153396,"Control vs at-risk","VARS1",NA
"Q14139","Q14139",0.129197921001612,0.0564509119929572,0.184453875153396,"Control vs at-risk","UBE4A","yes"
"Q8NEL9","Q8NEL9",0.15713936341092,0.0565251054187962,0.184541691040182,"Control vs at-risk","DDHD1",NA
"Q9ULJ1","Q9ULJ1",-0.148840466815795,0.0565558504293367,0.184541691040182,"Control vs at-risk","ODF2L","yes"
"Q7L1I2","Q7L1I2",0.249367362402008,0.0565670098885456,0.184541691040182,"Control vs at-risk","SV2B","yes"
"Q13011","Q13011",-0.0997844153384406,0.0566947120905598,0.184861107998909,"Control vs at-risk","ECH1","yes"
"Q9UQ35","Q9UQ35",-0.165037119699814,0.0567442658156265,0.184925509131283,"Control vs at-risk","SRRM2",NA
"P82650","P82650",-0.0959032119347469,0.0568088942597353,0.185038944294833,"Control vs at-risk","MRPS22","yes"
"Q96G28","Q96G28",0.113061755579583,0.0569147320986291,0.185154937266016,"Control vs at-risk","CFAP36",NA
"P55081","P55081",-0.122676495624834,0.0569150266149761,0.185154937266016,"Control vs at-risk","MFAP1",NA
"Q96A23","Q96A23",-0.143881359215211,0.0569340242229747,0.185154937266016,"Control vs at-risk","CPNE4","yes"
"P67809","P67809",-0.151488569682776,0.0569983970989934,0.185267183865508,"Control vs at-risk","YBX1",NA
"Q7Z5J4","Q7Z5J4",-0.174518447428646,0.0570479196824748,0.185331068916103,"Control vs at-risk","RAI1",NA
"O43301","O43301",-0.14083179490914,0.0570896097138595,0.185369454879382,"Control vs at-risk","HSPA12A","yes"
"Q06481","Q06481",-0.110182922966764,0.0572838526582541,0.185902879573466,"Control vs at-risk","APLP2",NA
"Q53GS9","Q53GS9",-0.108610278399524,0.0573668689240953,0.1859268793582,"Control vs at-risk","USP39",NA
"Q13526","Q13526",-0.119102924753854,0.0573705374212961,0.1859268793582,"Control vs at-risk","PIN1","yes"
"P16402","P16402",-0.442629092253618,0.0573811400436669,0.1859268793582,"Control vs at-risk","H1-3",NA
"Q8N573","Q8N573",0.20101271731685,0.0574874981700953,0.186174282956911,"Control vs at-risk","OXR1","yes"
"P26639","P26639",-0.106122521224844,0.0576339552851877,0.186507861707178,"Control vs at-risk","TARS1",NA
"O75506","O75506",-0.298556161156206,0.0576506170434114,0.186507861707178,"Control vs at-risk","HSBP1",NA
"Q969N2","Q969N2",-0.0930037310646092,0.057754817173604,0.186670295234984,"Control vs at-risk","PIGT",NA
"Q8NBF2","Q8NBF2",-0.142668004986593,0.057760993851921,0.186670295234984,"Control vs at-risk","NHLRC2","yes"
"O15118","O15118",0.10989929217941,0.057923431078128,0.1869008768345,"Control vs at-risk","NPC1",NA
"Q9Y4E1","Q9Y4E1",0.193650003406409,0.0579427926154727,0.1869008768345,"Control vs at-risk","WASHC2C",NA
"P57088","P57088",0.140069644577075,0.0579541699885558,0.1869008768345,"Control vs at-risk","TMEM33","yes"
"P35475","P35475",-0.108493509975897,0.0580147726256624,0.1869008768345,"Control vs at-risk","IDUA",NA
"Q14498","Q14498",-0.167744995924853,0.0580222355656169,0.1869008768345,"Control vs at-risk","RBM39",NA
"Q9UIC8","Q9UIC8",-0.104608948696889,0.058037516648562,0.1869008768345,"Control vs at-risk","LCMT1","yes"
"P04075","P04075",0.115511170189496,0.0580594702651765,0.1869008768345,"Control vs at-risk","ALDOA","yes"
"Q12923","Q12923",0.296882457194679,0.058073310320212,0.1869008768345,"Control vs at-risk","PTPN13",NA
"Q8TCT9","Q8TCT9",0.1497577289147,0.0582558949478445,0.187391305418028,"Control vs at-risk","HM13",NA
"P37198","P37198",-0.15603350500805,0.0583086805979323,0.187463918709933,"Control vs at-risk","NUP62",NA
"P53634","P53634",0.341088790258983,0.0584122174104586,0.187665248900108,"Control vs at-risk","CTSC",NA
"P40939","P40939",-0.129606200400474,0.0584425315246685,0.187665248900108,"Control vs at-risk","HADHA","yes"
"O94905","O94905",-0.10297667700625,0.0584620348306059,0.187665248900108,"Control vs at-risk","ERLIN2","yes"
"P31943","P31943",-0.14644603613705,0.058566799503545,0.187904338634693,"Control vs at-risk","HNRNPH1","yes"
"Q9H6U8","Q9H6U8",-0.145477681397672,0.0586123959852654,0.18795344552381,"Control vs at-risk","ALG9",NA
"Q86UP2","Q86UP2",-0.097801228032349,0.0588283014758287,0.188490297995284,"Control vs at-risk","KTN1","yes"
"B5ME19","B5ME19",-0.084758060660068,0.0588491157483825,0.188490297995284,"Control vs at-risk","EIF3CL",NA
"P50148","P50148",-0.12228768636324,0.0588709423875682,0.188490297995284,"Control vs at-risk","GNAQ","yes"
"Q9NPH3","Q9NPH3",0.302530972936031,0.0589344170003866,0.188596213247756,"Control vs at-risk","IL1RAP","yes"
"P07900","P07900",0.10410493460526,0.0589971451900518,0.188699631909418,"Control vs at-risk","HSP90AA1","yes"
"Q6NUQ1","Q6NUQ1",-0.164341397723391,0.0590861875135576,0.188887065183733,"Control vs at-risk","RINT1",NA
"Q9H6E4","Q9H6E4",-0.142627271165392,0.0592222763824685,0.18889177988155,"Control vs at-risk","CCDC134",NA
"Q8NFP7","Q8NFP7",-0.161917204020455,0.0592235087390852,0.18889177988155,"Control vs at-risk","NUDT10",NA
"Q9UNZ5","Q9UNZ5",-0.129436248435617,0.0592245177895385,0.18889177988155,"Control vs at-risk","C19orf53",NA
"Q9ULU8","Q9ULU8",0.101298655336613,0.0592742514452392,0.18889177988155,"Control vs at-risk","CADPS","yes"
"P98179","P98179",0.162318549169974,0.0592852476769396,0.18889177988155,"Control vs at-risk","RBM3",NA
