"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"CD40LG","CD40LG",1.07573717532468,6.78273828109104e-19,1.50196545421433e-17,"group2-group1"
"ENO2","ENO2",0.868186720779222,6.8701425896831e-19,1.50988171350704e-17,"group2-group1"
"SULT1A1","SULT1A1",1.37500064935065,6.94008234034721e-19,1.5138702000623e-17,"group2-group1"
"HSPB1","HSPB1",1.48447896103896,7.24432447807362e-19,1.56853040365994e-17,"group2-group1"
"KYAT1","KYAT1",1.03484266233766,8.22930857411742e-19,1.76869624721656e-17,"group2-group1"
"GMPR2","GMPR2",1.0528999025974,8.37035555165315e-19,1.78587950930527e-17,"group2-group1"
"CLEC1B","CLEC1B",0.862462337662338,1.07813938180531e-18,2.2836242123311e-17,"group2-group1"
"CDC37","CDC37",0.830170551948053,1.32723381321572e-18,2.77511766110985e-17,"group2-group1"
"DCTN2","DCTN2",1.27814866883117,1.32917027901259e-18,2.77511766110985e-17,"group2-group1"
"SERPINB9","SERPINB9",0.5552662987013,1.49315466068281e-18,3.09538373984103e-17,"group2-group1"
"CHMP1A","CHMP1A",1.18255746753247,1.58096728708986e-18,3.25434322546736e-17,"group2-group1"
"PLPBP","PLPBP",0.915771915584418,1.60117309348694e-18,3.27288737920442e-17,"group2-group1"
"USP8","USP8",1.06199545454545,2.05721666302121e-18,4.17586410139653e-17,"group2-group1"
"TBCC","TBCC",1.01067948051948,2.63438846198707e-18,5.31056377544015e-17,"group2-group1"
"EGF","EGF",1.26760032467532,2.87946196121819e-18,5.76484062509642e-17,"group2-group1"
"STK4","STK4",0.958452272727274,2.92619414104819e-18,5.8185479416897e-17,"group2-group1"
"PDLIM5","PDLIM5",1.01267081168831,3.06391576324077e-18,6.05123363240051e-17,"group2-group1"
"PPP1R2","PPP1R2",0.844486623376624,3.36276709516479e-18,6.59689142225951e-17,"group2-group1"
"HHEX","HHEX",0.914748279220779,3.46202457151961e-18,6.74633188170122e-17,"group2-group1"
"UFD1","UFD1",2.21305233766234,3.85225321743566e-18,7.45704381096982e-17,"group2-group1"
"SCAMP3","SCAMP3",0.766156136363637,4.27102825469401e-18,8.21329972925696e-17,"group2-group1"
"PEBP1","PEBP1",0.85801668831169,4.53987476859823e-18,8.6732378749102e-17,"group2-group1"
"MITD1","MITD1",1.31463743506494,5.3305469510958e-18,1.01176550247098e-16,"group2-group1"
"HPCAL1","HPCAL1",1.03684925324675,5.74287740970523e-18,1.08299552700441e-16,"group2-group1"
"YWHAQ","YWHAQ",0.828678831168833,6.48729810458342e-18,1.21553668972419e-16,"group2-group1"
"VASH1","VASH1",1.219275,6.54716711762218e-18,1.21894073151654e-16,"group2-group1"
"MIF","MIF",1.04777201298702,6.65668365216938e-18,1.23148647565133e-16,"group2-group1"
"ANGPT1","ANGPT1",1.16843587662338,6.72754357843368e-18,1.23676791696614e-16,"group2-group1"
"DXO","DXO",0.785555162337663,6.9757232981594e-18,1.2743774500325e-16,"group2-group1"
"NIT2","NIT2",1.23156662337662,7.42615545119142e-18,1.34823927849891e-16,"group2-group1"
"CMC1","CMC1",0.756927207792209,9.1668710778821e-18,1.65399778769441e-16,"group2-group1"
"SUGT1","SUGT1",0.997683311688313,1.0000531265491e-17,1.79334680300798e-16,"group2-group1"
"SARG","SARG",1.34926068181818,1.09131156495894e-17,1.94506323437499e-16,"group2-group1"
"TOMM20","TOMM20",0.608572207792208,1.13014941216151e-17,2.00207680712006e-16,"group2-group1"
"FABP5","FABP5",0.812088344155845,1.15730716558909e-17,2.03783665362465e-16,"group2-group1"
"LATS1","LATS1",1.3813012012987,1.21994297029492e-17,2.13526545040243e-16,"group2-group1"
"MECR","MECR",1.30150535714286,1.28208657929866e-17,2.23067801862499e-16,"group2-group1"
"EHD3","EHD3",1.55647438311688,1.55221019476598e-17,2.68468070964555e-16,"group2-group1"
"METAP2","METAP2",1.01813792207792,1.85641904979633e-17,3.19194875444392e-16,"group2-group1"
"FHIT","FHIT",1.1760975,1.90815105670967e-17,3.26171084138149e-16,"group2-group1"
"NIT1","NIT1",0.87161392857143,1.9341292905138e-17,3.2868953000999e-16,"group2-group1"
"PF4","PF4",1.31961626623377,2.11330924129332e-17,3.57063752156091e-16,"group2-group1"
"YTHDF3","YTHDF3",1.37503366883117,2.38684989986914e-17,4.00963348121695e-16,"group2-group1"
"RTN4IP1","RTN4IP1",1.23009194805195,2.55708291666594e-17,4.27105906595116e-16,"group2-group1"
"NUMB","NUMB",0.985213668831169,3.29607217090736e-17,5.4741016792967e-16,"group2-group1"
"WASF3","WASF3",2.32214477272727,3.82479573335894e-17,6.31631521390292e-16,"group2-group1"
"GLRX5","GLRX5",1.04021204545455,4.03591771645575e-17,6.62752105910122e-16,"group2-group1"
"COX5B","COX5B",1.01125977272727,4.3203525454633e-17,7.05496675440739e-16,"group2-group1"
"NUDC","NUDC",0.772223863636364,5.11602157458341e-17,8.30785059028184e-16,"group2-group1"
"NUDT16","NUDT16",1.20618396103896,5.76796335477376e-17,9.3147828099468e-16,"group2-group1"
"DNAJC6","DNAJC6",1.1942725974026,5.86310274579105e-17,9.41640072854244e-16,"group2-group1"
