"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"P09132" "P09132" 0.884994062266097 0.000269070331978695 0.00776655551457148 "Control vs at-risk" "SRP19"
"Q9H009" "Q9H009" 0.348696529943663 0.000325322162839305 0.00923372738858894 "Control vs at-risk" "NACA2"
"Q9BVG4" "Q9BVG4" 0.328638493015269 0.000377015975744977 0.0104154435788163 "Control vs at-risk" "PBDC1"
"P62750" "P62750" -0.291383560666333 0.000384843765304851 0.0104154435788163 "Control vs at-risk" "RPL23A"
"P83916" "P83916" -0.255695322229368 0.000389068804671566 0.0104154435788163 "Control vs at-risk" "CBX1"
"Q01130" "Q01130" -0.417701206928434 0.000392309732978954 0.0104154435788163 "Control vs at-risk" "SRSF2"
"P09874" "P09874" -0.285635467880194 0.000397536014458639 0.0104154435788163 "Control vs at-risk" "PARP1"
"P26368" "P26368" -0.429632758866902 0.000487585178546081 0.012581175137333 "Control vs at-risk" "U2AF2"
"Q07954" "Q07954" -0.230102912624101 0.000520746496823175 0.0132362878222368 "Control vs at-risk" "LRP1"
"P02786" "P02786" 0.343491581237931 0.000534954843616659 0.0133974720393996 "Control vs at-risk" "TFRC"
"P61254" "P61254" -0.217382936009798 0.000571408767285298 0.0141030308795197 "Control vs at-risk" "RPL26"
"P0DP25" "P0DP25" 0.504646189141827 0.000585273561978605 0.0142388696578509 "Control vs at-risk" "CALM1"
"O75340" "O75340" -0.219178093370498 0.000610655094732579 0.0146471214975997 "Control vs at-risk" "PDCD6"
"Q13185" "Q13185" -0.315379575277301 0.000625615639805932 0.014797547702632 "Control vs at-risk" "CBX3"
"P46778" "P46778" -0.258535965435474 0.000654685023603242 0.0152729944547441 "Control vs at-risk" "RPL21"
"Q9H2Y7" "Q9H2Y7" -0.275067592637896 0.000683612062945367 0.0157323154485941 "Control vs at-risk" "ZNF106"
"O00571" "O00571" -0.238305086298663 0.000705969942984545 0.0160302241720357 "Control vs at-risk" "DDX3X"
"Q14847" "Q14847" -0.269201421073166 0.000743002697039356 0.0166491262244477 "Control vs at-risk" "LASP1"
"Q14696" "Q14696" -0.409624895658798 0.000768319887593449 0.0169928411502811 "Control vs at-risk" "MESD"
"P02679" "P02679" 0.672543003899072 0.000782142116473946 0.0170767695430145 "Control vs at-risk" "FGG"
"Q15005" "Q15005" 0.307540473246991 0.000811843247837718 0.0174544003865466 "Control vs at-risk" "SPCS2"
"P62280" "P62280" -0.248434055951432 0.000819936600659853 0.0174544003865466 "Control vs at-risk" "RPS11"
"O75830" "O75830" 0.533251646659533 0.000837171222428719 0.0176012665653841 "Control vs at-risk" "SERPINI2"
"Q16875" "Q16875" 0.347486572226698 0.000899954601489124 0.0186905205650729 "Control vs at-risk" "PFKFB3"
"Q9BWS9" "Q9BWS9" -0.447161687438928 0.000962314492734674 0.0197448383268331 "Control vs at-risk" "CHID1"
"Q16629" "Q16629" -0.318896943161565 0.000987996686538084 0.0200304566330281 "Control vs at-risk" "SRSF7"
"P20336" "P20336" 0.254306172788297 0.00109994228300289 0.0220376671523991 "Control vs at-risk" "RAB3A"
"P04062" "P04062" 0.317566756612102 0.00114588614772422 0.0223402298824298 "Control vs at-risk" "GBA"
"P48681" "P48681" -0.2518547351482 0.00114638157448423 0.0223402298824298 "Control vs at-risk" "NES"
"P62266" "P62266" -0.31279828221113 0.00115439825581552 0.0223402298824298 "Control vs at-risk" "RPS23"
"Q9UHD8" "Q9UHD8" -0.213609700944044 0.00128106379709293 0.0242927504815667 "Control vs at-risk" "SEPTIN9"
"P12694" "P12694" 0.353444447253068 0.00128600219884438 0.0242927504815667 "Control vs at-risk" "BCKDHA"
"P62917" "P62917" -0.289122498604975 0.00129808590359517 0.0242927504815667 "Control vs at-risk" "RPL8"
