"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P10619","P10619",18.8311164434471,1.74979618605443e-26,5.3299231106595e-26,"CSpermidine-CControl","CTSA"
"Q05397","Q05397",18.5587729380152,1.78414636908814e-26,5.42698561293664e-26,"CSpermidine-CControl","PTK2"
"P0DMV8","P0DMV8",24.0850019658741,1.79021732061893e-26,5.43787848154624e-26,"CSpermidine-CControl","HSPA1A"
"Q15046","Q15046",19.6221413379427,1.79791831940744e-26,5.44669553115195e-26,"CSpermidine-CControl","KARS1"
"Q16718","Q16718",17.5552033471413,1.79810781957901e-26,5.44669553115195e-26,"CSpermidine-CControl","NDUFA5"
"Q9Y678","Q9Y678",20.9437557789579,1.80271212570204e-26,5.45307933868872e-26,"CSpermidine-CControl","COPG1"
"Q92947","Q92947",17.2451590353931,1.81307663020544e-26,5.47179569112934e-26,"CSpermidine-CControl","GCDH"
"P16435","P16435",21.0704137711295,1.81391029321321e-26,5.47179569112934e-26,"CSpermidine-CControl","POR"
"P30740","P30740",22.8976085501515,1.82253475286085e-26,5.49022882792841e-26,"CSpermidine-CControl","SERPINB1"
"Q9Y3E0","Q9Y3E0",18.2373050324452,1.8260303261162e-26,5.49318213806858e-26,"CSpermidine-CControl","GOLT1B"
"Q8WXF7","Q8WXF7",17.2736265685211,1.83564681858546e-26,5.50846576609845e-26,"CSpermidine-CControl","ATL1"
"P60953","P60953",22.4173351454709,1.83774482699067e-26,5.50846576609845e-26,"CSpermidine-CControl","CDC42"
"P62081","P62081",20.6338922643709,1.84046770706859e-26,5.50846576609845e-26,"CSpermidine-CControl","RPS7"
"P23786","P23786",18.0178766628811,1.84119963793584e-26,5.50846576609845e-26,"CSpermidine-CControl","CPT2"
"O14980","O14980",20.807870118883,1.85194799154374e-26,5.53304297336736e-26,"CSpermidine-CControl","XPO1"
"Q9NX76","Q9NX76",19.1602803398177,1.85832687745477e-26,5.54451625732406e-26,"CSpermidine-CControl","CMTM6"
"Q27J81","Q27J81",20.0982356787487,1.87151503561099e-26,5.57624670910561e-26,"CSpermidine-CControl","INF2"
"P60900","P60900",19.2091478003054,1.87957914105863e-26,5.59264420173303e-26,"CSpermidine-CControl","PSMA6"
"Q8TD55","Q8TD55",19.9996562805523,1.88712573212871e-26,5.60745931832531e-26,"CSpermidine-CControl","PLEKHO2"
"O75791","O75791",19.0005218941823,1.89586590106488e-26,5.62577598902948e-26,"CSpermidine-CControl","GRAP2"
"O00217","O00217",17.5346093998987,1.89915514521211e-26,5.62788987400713e-26,"CSpermidine-CControl","NDUFS8"
"Q96BY6","Q96BY6",18.7537519189086,1.91834886487124e-26,5.67476791283176e-26,"CSpermidine-CControl","DOCK10"
"P52815","P52815",18.3577627123296,1.92017101079793e-26,5.67476791283176e-26,"CSpermidine-CControl","MRPL12"
"P42892","P42892",19.0614168854191,1.9251778215827e-26,5.68187616531974e-26,"CSpermidine-CControl","ECE1"
"O75083","O75083",24.2771304157697,1.92956559571762e-26,5.68714070316773e-26,"CSpermidine-CControl","WDR1"
"P62851","P62851",21.3592184082609,1.95410114419938e-26,5.75169393386989e-26,"CSpermidine-CControl","RPS25"
"P07954","P07954",22.6547959979937,1.96191086274375e-26,5.76690891552135e-26,"CSpermidine-CControl","FH"
"P09104","P09104",21.0355783538581,1.96648384900642e-26,5.7725816212769e-26,"CSpermidine-CControl","ENO2"
"Q9NUQ9","Q9NUQ9",21.0570041294588,1.97805192020294e-26,5.79874549493049e-26,"CSpermidine-CControl","FAM49B"
"Q9BX68","Q9BX68",19.8154407577019,1.9966394658925e-26,5.84538953553514e-26,"CSpermidine-CControl","HINT2"
"O00161","O00161",20.0338799099455,2.00574397566112e-26,5.86418318988472e-26,"CSpermidine-CControl","SNAP23"
"Q15388","Q15388",16.5157249518265,2.01016212927735e-26,5.86924343628575e-26,"CSpermidine-CControl","TOMM20"
"P61247","P61247",21.4201601859489,2.02362244212169e-26,5.90065609291557e-26,"CSpermidine-CControl","RPS3A"
"P02671","P02671",25.3675656061032,2.03239846843264e-26,5.91834434007585e-26,"CSpermidine-CControl","FGA"
"Q13201","Q13201",24.3529783221485,2.04629636316047e-26,5.95088050218704e-26,"CSpermidine-CControl","MMRN1"
"O95810","O95810",23.3967266199327,2.05385965025033e-26,5.96493281402488e-26,"CSpermidine-CControl","CAVIN2"
"Q13526","Q13526",19.8196810492322,2.07449490528573e-26,6.01562790591343e-26,"CSpermidine-CControl","PIN1"
"P48736","P48736",17.0220988210336,2.07682391989869e-26,6.01562790591343e-26,"CSpermidine-CControl","PIK3CG"
"P09417","P09417",18.6262208137186,2.08132570742729e-26,6.02068257618701e-26,"CSpermidine-CControl","QDPR"
"P68032","P68032",23.912200986716,2.09094646092298e-26,6.02899017985068e-26,"CSpermidine-CControl","ACTC1"
"P84103","P84103",19.7860584788467,2.09180879857451e-26,6.02899017985068e-26,"CSpermidine-CControl","SRSF3"
"P04839","P04839",20.0771695525968,2.10174921210066e-26,6.02899017985068e-26,"CSpermidine-CControl","CYBB"
"P49773","P49773",20.2200201792983,2.10227910694288e-26,6.02899017985068e-26,"CSpermidine-CControl","HINT1"
"P13498","P13498",19.8635605338994,2.10263203265003e-26,6.02899017985068e-26,"CSpermidine-CControl","CYBA"
"P84243","P84243",24.3617068938601,2.10314492191169e-26,6.02899017985068e-26,"CSpermidine-CControl","H3-3A"
"Q9NR45","Q9NR45",19.0372530048095,2.10352129901384e-26,6.02899017985068e-26,"CSpermidine-CControl","NANS"
"P16930","P16930",19.1727340248922,2.12779064875519e-26,6.09055671937264e-26,"CSpermidine-CControl","FAH"
"Q01813","Q01813",21.6134336900351,2.15674876206976e-26,6.16536557115231e-26,"CSpermidine-CControl","PFKP"
"P11310","P11310",18.0191664745703,2.16808778953019e-26,6.18627502501474e-26,"CSpermidine-CControl","ACADM"
"P61254","P61254",20.9771110934661,2.1717122877867e-26,6.18627502501474e-26,"CSpermidine-CControl","RPL26"
"P24158","P24158",18.7092607323413,2.17256087188018e-26,6.18627502501474e-26,"CSpermidine-CControl","PRTN3"
"Q9BSF0","Q9BSF0",17.7423334976774,2.18489869076226e-26,6.1932859319148e-26,"CSpermidine-CControl","C2orf88"
"O60704","O60704",17.6619515932663,2.18501975519824e-26,6.1932859319148e-26,"CSpermidine-CControl","TPST2"
