Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
26.7658326916098	26.6613571079187	26.6517233805669	26.5300939442871	26.4009606396089	26.5659983392763	26.4055815869837	26.4450335239531	26.5348887778236	26.3218863532477	26.492281532031	26.4382756829198
26.5409660422146	26.4468138153987	26.4806717717827	26.351771453471	26.0437464179008	26.4494779854715	26.1170666919344	26.1961810905047	26.2396953344597	26.0072568216967	26.1896746009386	26.1596790697991
26.2210934374737	26.0965767859145	26.0285850652563	25.9846579714741	25.920347788587	26.0882928968785	25.8744868837449	25.9636693187346	25.9990004871813	25.6767036724121	25.9809591186568	25.833633890935
26.5684127520829	26.5053900025893	26.5750270996735	26.3664478166239	26.2005240990645	26.4615297900671	26.1963255103659	26.2894614148091	26.3910388305823	26.1431611848757	26.3349970963343	26.260929888787
22.7925287526867	22.3734288659885	22.2123247462222	22.5081543493669	22.3643035951619	22.6336544194023	22.2527239584179	22.4612385695238	22.6940146051454	22.4392580335661	22.3313571756893	22.340773567335
22.7925287526867	22.3734288659885	22.2123247462222	22.5081543493669	22.3643035951619	22.6336544194023	22.2527239584179	22.4612385695238	22.6940146051454	22.4392580335661	22.3313571756893	22.340773567335
20.9211288995845	20.5884692642095	20.4309762123351	20.3224710025029	20.0813020951963	20.8242818112785	20.243227486444	20.3351808271447	20.8664679739575	20.2607486806013	20.476988073221	20.2453670003653
20.9211288995845	20.5884692642095	20.4309762123351	20.3224710025029	20.0813020951963	20.8242818112785	20.243227486444	20.3351808271447	20.8664679739575	20.2607486806013	20.476988073221	20.2453670003653
25.0541722259933	24.9757396070849	25.0042480533461	24.7746813838074	24.6407576664693	24.8991506611164	24.6506247213162	24.7078179412612	24.7963175876261	24.5224380148412	24.6835733998136	24.651030487347
23.9219530894753	23.8546488680457	23.8866690509709	23.8472359671026	23.5835269130351	23.8633815709224	23.7185688845846	23.6612172514218	23.6838523706143	23.3967290091968	23.68459800459	23.5042542968849
24.6520258925566	24.5524105507937	24.5364585067682	24.3304800278992	24.1556230326417	24.4830271543189	24.2044891369947	24.2426157544159	24.3602273628612	24.0712805989341	24.2722372651605	24.1830469789135
24.0477604577032	24.0299742903843	24.0016502307344	23.8461986351527	23.6239521246397	24.014005013133	23.6966276421513	23.7946255905397	23.8364923444513	23.699491267854	23.8186648996826	23.7905686709634
23.8536692358863	23.8942567187137	23.9514513528898	23.989516308644	24.1708693202788	23.9509912680331	23.9923507054331	23.7976555534951	24.2721634742653	25.0723704329708	24.2296438011742	24.223199853167
