Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
26.5967512761876	26.5571854326354	26.5363752248391	26.5363437887577	26.4934389334945	26.5217327114185	26.4674925317108	26.5452664228265	26.5640506406894	26.4153489484464	26.5390143853002	26.4725313194945
26.3718846267924	26.3426421401153	26.3653236160549	26.3580212979416	26.1362247117864	26.4052123576137	26.1789776366615	26.2964139893781	26.2688571973255	26.1007194168955	26.2364074542077	26.1939347063739
26.0520120220516	25.9924051106312	25.9132369095285	25.9909078159446	26.0128260824726	26.0440272690207	25.936397828472	26.063902217608	26.0281623500471	25.7701662676109	26.027691971926	25.8678895275097
26.3993313366607	26.4012183273059	26.4596789439457	26.3726976610945	26.2930023929501	26.4172641622092	26.258236455093	26.3896943136826	26.4202006934481	26.2366237800744	26.3817299496035	26.2951855253617
22.6234473372645	22.2692571907052	22.0969765904944	22.5144041938375	22.4567818890474	22.5893887915445	22.314634903145	22.5614714683972	22.7231764680112	22.5327206287649	22.3780900289585	22.3750292039097
22.6234473372645	22.2692571907052	22.0969765904944	22.5144041938375	22.4567818890474	22.5893887915445	22.314634903145	22.5614714683972	22.7231764680112	22.5327206287649	22.3780900289585	22.3750292039097
20.7520474841623	20.4842975889261	20.3156280566074	20.3287208469735	20.1737803890819	20.7800161834207	20.305138431171	20.4354137260181	20.8956298368233	20.3542112758	20.5237209264902	20.27962263694
20.7520474841623	20.4842975889261	20.3156280566074	20.3287208469735	20.1737803890819	20.7800161834207	20.305138431171	20.4354137260181	20.8956298368233	20.3542112758	20.5237209264902	20.27962263694
24.8850908105712	24.8715679318016	24.8888998976183	24.7809312282779	24.7332359603549	24.8548850332585	24.7125356660432	24.8080508401346	24.8254794504919	24.61590061004	24.7303062530828	24.6852861239218
23.7528716740532	23.7504771927624	23.7713208952432	23.8534858115732	23.6760052069207	23.8191159430646	23.7804798293116	23.7614501502952	23.7130142334801	23.4901916043956	23.7313308578592	23.5385099334597
24.4829444771345	24.4482388755103	24.4211103510405	24.3367298723698	24.2481013265273	24.4387615264611	24.2664000817218	24.3428486532893	24.389389225727	24.1647431941329	24.3189701184297	24.2173026154883
23.878679042281	23.925802615101	23.8863020750067	23.8524484796233	23.7164304185253	23.9697393852751	23.7585385868783	23.8948584894131	23.8656542073171	23.7929538630528	23.8653977529518	23.8248243075381
23.6845878204641	23.7900850434304	23.8361031971621	23.9957661531146	24.2633476141643	23.9067256401752	24.0542616501602	23.8978884523685	24.3013253371311	25.1658330281695	24.2763766544434	24.2574554897417
24.1994177398043	24.3044419710623	24.2062010095982	24.0529255025124	23.931548323402	24.192000369108	23.9960573001828	24.0173515765857	24.1249152298805	24.0085007325597	24.236969026233	24.0730572746453
23.0162402314664	22.9991514027344	22.8839383802509	22.9792444939428	22.9124170674482	23.4383451794482	22.914905765849	23.2689033883215	23.1425596789509	23.229696098291	23.0271857232881	22.9558700487299
22.696787500148	22.7048934552836	22.6214702915856	22.6668619664471	22.6556580086153	22.5868007797008	22.6335180210467	22.6394590410939	22.41592386012	22.5167775281744	22.4989240548434	22.5696088245204
23.1606930877625	23.1435891072253	23.1134774346308	23.1410520653045	23.2651178909233	23.0517664917416	23.2164300072631	23.1398225100198	23.1391011308988	23.1046921439499	23.1306842116474	23.1374292324176
23.7067315261216	23.7128647512584	23.7533801832002	23.7160468998943	23.5904952221296	23.8123806068462	23.5704344930672	23.8227647530536	23.7135974327393	23.3942931579834	23.6747489411241	23.4753129347246
23.4959178633824	23.460785250997	23.3086173108442	23.2867810597734	23.3229811881003	23.4635557500992	23.3045180664545	23.3713962151522	23.4886950801181	23.3374260708963	23.4101550439984	23.3948538059748
23.5553576023195	23.5474247784297	23.4843596052367	23.5673410232154	23.688673771511	23.941683574886	23.5354452787869	23.8871497522679	23.6310672722137	23.995883404654	23.7102350670579	23.7508539815316
