Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
26.5761989243915	26.5420377713494	26.505118452278	26.471548418054	26.4821085157753	26.4552442429553	26.402974967035	26.5781758627459	26.5067794886353	26.4414486952992	26.5277940188385	26.4636759218748
26.3529133703312	26.3284439270525	26.3353291274133	26.294964286427	26.1216807735885	26.3410633720577	26.1153263547532	26.3279986223213	26.2136545191592	26.1230604759983	26.2247757692094	26.1823402127234
26.0352898722696	25.9797568501276	25.8865786173948	25.9314295739504	25.9971720428335	25.9871301181316	25.873474906559	26.0942490357826	25.9746462642415	25.7885584091825	26.0157765903631	25.8530894347483
26.3801670953124	26.3867608889082	26.4289881554332	26.3094975785033	26.279868836138	26.35287320184	26.1943471939686	26.4217755398182	26.3639375240113	26.2605884059878	26.3702957942385	26.2845865058245
22.6308323089388	22.2730854936757	22.0984805826425	22.488816304037	22.4091374634043	22.6018534937984	22.2625865352467	22.5731725187726	22.6928190164845	22.5124369753337	22.3612139251637	22.3258881342734
22.6308323089388	22.2730854936757	22.0984805826425	22.488816304037	22.4091374634043	22.6018534937984	22.2625865352467	22.5731725187726	22.6928190164845	22.5124369753337	22.3612139251637	22.3258881342734
20.7725907502541	20.496025121476	20.3302775995363	20.3244398754048	20.1055979455573	20.8288092708136	20.2591236934074	20.435796357321	20.8780783353279	20.3079022954456	20.5043242710909	20.20988002536
20.7725907502541	20.496025121476	20.3302775995363	20.3244398754048	20.1055979455573	20.8288092708136	20.2591236934074	20.435796357321	20.8780783353279	20.3079022954456	20.5043242710909	20.20988002536
24.8765735844122	24.8638798677013	24.8698007518001	24.7332483235419	24.7060706515339	24.8218633499938	24.6532874615168	24.8317119263558	24.7803907814495	24.6205034414791	24.7166273997004	24.6588589541025
23.7523153722892	23.7477504471805	23.7604689796821	23.8148440168802	23.6393289870822	23.8068903181986	23.7240301766923	23.7795394851133	23.6757208095699	23.4813462746632	23.7162941469544	23.5008079312713
24.477254845434	24.4424242282649	24.4054632816252	24.2933772206791	24.2165717175581	24.4140947254094	24.208491425258	24.3640331589364	24.347356319822	24.163956322183	24.3047321563171	24.1862743424607
23.8772381565045	23.9222999775825	23.8746016500671	23.8138167972583	23.6801178663054	23.9544895594265	23.7021548141166	23.9136580455294	23.8272912074823	23.7877254499753	23.8505432725032	23.7899372805816
23.6845116400639	23.7871830157271	23.8247732173574	23.9557373525648	24.2319551617096	23.8927409974021	23.9969899516862	23.9167041389924	24.2599095108331	25.177005567904	24.2620807971557	24.2268219902804
24.1957216576271	24.2992636882252	24.1921398744386	24.0123394896905	23.8971709847057	24.1722880115587	23.9389603636579	24.0368032448561	24.0847355411343	24.0058473269013	24.2226196041181	24.040610815531
23.0208633751228	22.9997496034977	22.8796349484317	22.9491251543879	22.8688715630898	23.433764628288	22.8610550497423	23.2843705692094	23.1092635333567	23.2177387871025	23.0111919029565	22.91243966895
