Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
26.4745163429361	26.4615383583655	26.4615803023215	26.5024232589964	26.6187552343758	26.3937455778445	26.608073445817	26.4808715023375	26.5307701539245	26.6128070388673	26.5096465874261	26.575693711224
26.2586913946037	26.2547389418507	26.2962715214106	26.3259725224202	26.2519320615886	26.2876551021753	26.3113864861066	26.2386441504334	26.2394642648271	26.2855735902615	26.210023529562	26.2896578939511
25.9496726036861	25.9138083846649	25.8511111580382	25.961156043027	26.116908046187	25.9390476855813	26.0588022586519	26.0140169365323	26.0032029258523	25.9400612689234	26.0048670981423	25.9547312492566
26.2828915002151	26.3105332351443	26.3885628128995	26.3399729254955	26.4121680475136	26.2959560659647	26.3935967126652	26.3295515407501	26.3894327258402	26.4259892011627	26.3542764524273	26.3935756735707
22.6376236856071	22.283413763388	22.1139583520159	22.51954168984	22.4398546735836	22.6172421676446	22.324628155985	22.5934404849579	22.7353488947567	22.5488343614537	22.3892657548302	22.3647463926573
22.6376236856071	22.283413763388	22.1139583520159	22.51954168984	22.4398546735836	22.6172421676446	22.324628155985	22.5934404849579	22.7353488947567	22.5488343614537	22.3892657548302	22.3647463926573
20.8270929591056	20.5379812150271	20.3808360142555	20.3656555970234	20.0912287419209	20.8820927739204	20.2368393519983	20.498098474933	20.8964596292136	20.3058717515042	20.539732105192	20.2152005889379
20.8270929591056	20.5379812150271	20.3808360142555	20.3656555970234	20.0912287419209	20.8820927739204	20.2368393519983	20.498098474933	20.8964596292136	20.3058717515042	20.539732105192	20.2152005889379
24.8262339541924	24.8299332706986	24.8551931342411	24.7614659764345	24.7901029947733	24.8005709340841	24.7931471626333	24.7892100925449	24.81617121021	24.7276257539438	24.7213625610149	24.7369013826512
23.7291793296111	23.7369118282866	23.761513325866	23.844910671034	23.6957480879532	23.8051072189471	23.826831670715	23.7678755874573	23.7150309596003	23.5562317357491	23.7328653772012	23.5612677954445
24.4393953716737	24.4191773179908	24.3976797371991	24.3216042271494	24.2884674910927	24.4021910303689	24.3319604865298	24.3349308508132	24.385040389185	24.2565030421276	24.3147397015991	24.256486758699
23.8508966480223	23.9091435857582	23.8736607612248	23.8424352938778	23.7403062388809	23.9511543344921	23.8087821357257	23.8983236578014	23.8663409815424	23.8642901385537	23.8657897564519	23.8510065568818
23.6483319312926	23.7668494380517	23.8176338413044	23.9829136054516	24.2959893010802	23.8785308734199	24.1126857990566	23.8952189145356	24.2992999886193	25.248135504187	24.2743270276174	24.2906621504124
24.163395842146	24.2813910429414	24.1878916529009	24.0401484119611	23.9639444516979	24.1640730530411	24.0542535860468	24.0148510314565	24.1229643432163	24.0905001866757	24.2349882937555	24.1060712447098
23.01164241302	22.9993295285848	22.8875414315003	22.9778434187588	22.9139099665961	23.4450457281953	22.9436734910667	23.2888392955698	23.1509119219715	23.2706612877041	23.0337460559928	22.962187485069
22.7060750202335	22.7152168204472	22.6349370395819	22.6704336638434	22.6438413871629	22.6088770370746	22.6488417005894	22.6684644854246	22.4276099244062	22.5392539924767	22.5089263676154	22.5636394669945
23.1537741725222	23.1421290308264	23.1154377917439	23.1387657916859	23.268765460857	23.0559784542602	23.2473128545609	23.1581599440762	23.1467104019707	23.1487474352029	23.1366548328011	23.14578519522
